,标题,学校,门类/专业,招生人数,发布时间,链接
437,招化工专业硕士研究生调剂！,五邑大学,工学 -> 化学工程与技术  ,10,2020-03-08 10:45,http://muchong.com/t-14125006-1
438,青岛农业大学生物纳米与分子识别团队招收2020年考研调剂生,青岛农业大学,工学 -> 化学工程与技术  -> 应用化学,3,2020-03-08 09:33,http://muchong.com/t-14124857-1
439,武占省教授、常薇教授、李云峰副教授、李庆副教授招收调剂研究生,西安工大,工学 -> 化学工程与技术  -> 环境工程,20,2020-03-08 09:24,http://muchong.com/t-14124840-1
440,北京石油化工学院“水下先进连接技术与装备”课题组招生,北京石油化工学院,工学 -> 机械工程  -> 机械制造及其自动化,5,2020-03-08 09:15,http://muchong.com/t-14124822-1
441,燕山大学接收调剂研究生,燕山大学,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-08 08:59,http://muchong.com/t-14124775-1
442,沈阳药科大学接收环境化工方向调剂研究生,沈阳药科,工学 -> 环境科学与工程  -> 环境工程,5,2020-03-08 08:25,http://muchong.com/t-14124713-1
443,江西科技师范大通电学院谈荣日博士课题组招收2020届硕士调剂生,江西科技师范大学,工学 -> 电子科学与技术  -> 物理电子学,3,2020-03-08 00:29,http://muchong.com/t-14124544-1
444,2020年河北科技大学张向京老师课题组招收化学、化工等相关专业硕士信息,河北科技,工学 -> 化学工程与技术  -> 化学工程,5,2020-03-08 00:17,http://muchong.com/t-14124525-1
445,辽宁科大接收调剂研究生,辽宁科大,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-03-07 23:15,http://muchong.com/t-14124451-1
446,陕西科技大学吕生华教授课题组招收2020年调剂硕士研究生,陕西科大,工学 -> 化学工程与技术  -> 应用化学,10,2020-03-07 22:40,http://muchong.com/t-14124395-1
447,青岛大学物理科学学院-功能材料课题组-招收调剂硕士研究生,青岛大学,工学 -> 材料科学与工程  -> 材料学,6,2020-03-07 18:42,http://muchong.com/t-14123993-1
448,上海工程技术大学化学化工学院安炜教授课题组招收化学类调剂生,上海工程,工学 -> 化学工程与技术  -> 工业催化,3,2020-03-07 18:10,http://muchong.com/t-14123944-1
449,湖北工业大学生物质基功能材料课题组接收（专硕学硕均可，轻工、化工、材料类）调剂生,湖北工业大学,工学   ,3,2020-03-07 18:05,http://muchong.com/t-14123932-1
450,内蒙古科大接收调剂研究生,内蒙古科大,工学 -> 材料科学与工程  -> 材料学,6,2020-03-07 18:03,http://muchong.com/t-14123929-1
451,接收调剂,沈阳工业大学（辽阳校区）,工学 -> 化学工程与技术  -> 化学工程,1,2020-03-07 16:54,http://muchong.com/t-14123796-1
452,吉林建筑大学招收调剂：材料科学与工程专业（高分子、化工有化学基础的相关工科专业）,吉林建工,工学 -> 材料科学与工程  ,4,2020-03-07 15:24,http://muchong.com/t-14123595-1
453,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-07 14:05,http://muchong.com/t-14123452-1
454,五邑大学应用物理与材料学院接收2020年材料相关专业调剂！！！,五邑大学,工学 -> 材料科学与工程  ,60,2020-03-07 13:51,http://muchong.com/t-14123421-1
455,浙江农林大学接收调剂研究生,浙江农林大学,工学 -> 林业工程  -> 木材科学与技术,3,2020-03-07 13:33,http://muchong.com/t-14123387-1
456,北京石油化工学院接收调剂研究生,北京石油化工学院,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-03-07 12:59,http://muchong.com/t-14123324-1
457,天津理工大学材料学院张晨光教授招收硕士研究生及调剂生,天津理工,工学   ,3,2020-03-07 12:59,http://muchong.com/t-14123323-1
458,还没招满，招收调剂生5名：化工专业，学硕，全日制，工科，满足条件请加我！！,长春工业大学,工学 -> 化学工程与技术  -> 化学工程,6,2020-03-07 12:35,http://muchong.com/t-14123276-1
459,三峡大学接收调剂研究生,三峡大学,工学 -> 材料科学与工程  -> 材料物理与化学,4,2020-03-07 11:48,http://muchong.com/t-14123168-1
460,东北林大（211，双一流）沈静老师-“材料与化工”硕士调剂,东北林大,工学 -> 化学工程与技术  ,1,2020-03-07 11:42,http://muchong.com/t-14123147-1
461,燕山大学接收调剂研究生,燕山大学,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-07 11:30,http://muchong.com/t-14123107-1
462,燕山大学邵光杰教授课题组招收2020级化学工程与技术、化学专业硕士生(学术/专业型）,燕山大学,工学 -> 化学工程与技术  ,16,2020-03-07 11:29,http://muchong.com/t-14123104-1
463,浙江科技接收调剂研究生,浙江科技,工学 -> 工程[专]  -> 农业工程,0,2020-03-07 11:08,http://muchong.com/t-14123065-1
464,2020年太原科技大学石国亮课题组接受调剂硕士研究生,太原科大,工学 -> 化学工程与技术  -> 化学工程,2,2020-03-07 09:44,http://muchong.com/t-14122829-1
465,昆明理工大学化学工程学院青年教师――何亮课题组招收调剂生2～3人,昆明理工,工学 -> 化学工程与技术  -> 化学工程,2,2020-03-07 09:03,http://muchong.com/t-14122751-1
466,陕西理工接收调剂研究生,陕西理工,工学   ,0,2020-03-07 09:00,http://muchong.com/t-14122744-1
467,东北石油大学先进化工催化材料与表面科学国际合作联合实验室 2020年博士招生,东北石油大学,工学 -> 化学工程与技术  -> 应用化学,1,2020-03-07 08:18,http://muchong.com/t-14122673-1
468,海洋功能材料团队招硕士生1名-青岛农业大学,青岛农业大学,工学 -> 化学工程与技术  -> 应用化学,1,2020-03-07 05:07,http://muchong.com/t-14122587-1
469,海南大学接收调剂研究生,海南大学,工学 -> 材料科学与工程  -> 材料学,30,2020-03-07 00:13,http://muchong.com/t-14122478-1
470,周利斌课题组-招收2020年硕士调剂研究生（生物物理学、生物工程）,中科院,工学 -> 生物工程  ,1,2020-03-06 22:48,http://muchong.com/t-14122354-1
471,太原科大 化学化工类调剂,太原科大,工学 -> 化学工程与技术  ,1,2020-03-06 21:53,http://muchong.com/t-14122243-1
472,浙江科技学院机械工程专硕-理学院导师招收专业型硕士研究生（光电方向）,浙江科技,工学 -> 机械工程  ,20,2020-03-06 20:51,http://muchong.com/t-14122117-1
473,太原理工大学光学工程专业招收调剂生,太原理工,工学 -> 光学工程  ,4,2020-03-06 17:47,http://muchong.com/t-14121813-1
474,中国地质大学（武汉）材料与化学学院杨志红所在课题组欢迎985/211/双一流生源调剂生,中国地质大学（武汉）,工学 -> 材料科学与工程  -> 材料学,2,2020-03-06 17:22,http://muchong.com/t-14121769-1
475,2020年江苏科技大学环境与化学工程学院硕士研究生招生调剂,江苏科大,工学 -> 化学工程与技术  ,65,2020-03-06 17:05,http://muchong.com/t-14121727-1
476,厦门大学萨本栋微米纳米科学技术研究院微纳器件与能源研究室招收2020年硕士调剂,厦门大学,工学 -> 材料科学与工程  ,3,2020-03-06 16:48,http://muchong.com/t-14121671-1
477,湖北大学 材料学院 光电多功能材料课题组 现招收调剂硕士生,湖北大学,工学 -> 材料科学与工程  -> 材料学,5,2020-03-06 16:04,http://muchong.com/t-14121565-1
478,长春大学接收调剂研究生,,工学   ,0,2020-03-06 16:02,http://muchong.com/t-14121561-1
479,北京石油化工学院接收调剂研究生,北京石油化工学院,工学 -> 材料科学与工程  -> 材料物理与化学,0,2020-03-06 15:30,http://muchong.com/t-14121488-1
480,沈阳工大接收调剂研究生,沈阳工大,工学 -> 工程[专]  -> 仪器仪表工程,10,2020-03-06 15:28,http://muchong.com/t-14121484-1
481,安理大调剂,安徽理工,工学 -> 材料科学与工程  -> 材料学,2,2020-03-06 14:52,http://muchong.com/t-14121406-1
482,苏州科技大学材料科学与器件研究院李长明院士课题组招收调剂研究生,苏州科技大学,工学 -> 材料科学与工程  -> 材料物理与化学,10,2020-03-06 14:07,http://muchong.com/t-14121295-1
483,苏州科技大学李院士课题组招收调剂研究生,苏州科技大学,工学 -> 材料科学与工程  -> 材料物理与化学,10,2020-03-06 13:58,http://muchong.com/t-14121279-1
484,太原理工大学“保密光通信”团队2020年硕、博士招生简介,太原理工,工学 -> 光学工程  ,8,2020-03-06 12:55,http://muchong.com/t-14121135-1
485,武占省教授、常薇教授、李云峰副教授、李庆副教授招收调剂研究生,西安工大,工学 -> 化学工程与技术  ,20,2020-03-06 11:49,http://muchong.com/t-14121014-1
486,调剂要求：全日制，学硕，化工相关专业，要求考数学，有意向抓紧联系我们！！！,长春工业大学,工学 -> 化学工程与技术  -> 化学工程,6,2020-03-06 11:33,http://muchong.com/t-14120966-1
487,哈尔滨工程大学材化学院 魏浩、马宁老师课题组2020年招生简章,哈工程,工学 -> 化学工程与技术  ,10,2020-03-06 11:23,http://muchong.com/t-14120936-1
488,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,0,2020-03-06 11:12,http://muchong.com/t-14120896-1
489,广西大学接收调剂研究生,广西大学,工学   ,0,2020-03-06 10:37,http://muchong.com/t-14120794-1
490,福州大学化学工程专业招收调剂生,福州大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-03-06 10:35,http://muchong.com/t-14120789-1
491,2020河南理工大学化学化工学院王元老师课题组调剂招生,,工学   ,0,2020-03-06 09:41,http://muchong.com/t-14120630-1
492,辽宁石油化工大学王吉林教授课题组接受化学、化工及高分子类相关专业硕士生调剂,辽宁石化,工学 -> 化学工程与技术  -> 应用化学,4,2020-03-06 08:42,http://muchong.com/t-14120513-1
493,西京学院接收调剂研究生,西京学院,工学 -> 土木工程  -> 结构工程,5,2020-03-06 08:10,http://muchong.com/t-14120444-1
494,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-06 07:02,http://muchong.com/t-14120381-1
495,东北石油大学“盆地构造解析及控藏作用”黑龙江省青年科技创新团队接收调剂研究生,东北石油大学,工学 -> 地质资源与地质工程  -> 矿产普查与勘探,3,2020-03-05 22:39,http://muchong.com/t-14120059-1
496,燕山大学王振春老师发射控制课题组接收硕士研究生,燕山大学,工学 -> 控制科学与工程  ,2,2020-03-05 22:17,http://muchong.com/t-14119937-1
497,2020年东北林业大学材料科学与工程调剂信息,,工学   ,1,2020-03-05 21:02,http://muchong.com/t-14119761-1
498,已满,山东轻工,工学 -> 轻工技术与工程  -> 制浆造纸工程,3,2020-03-05 18:48,http://muchong.com/t-14119543-1
499,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【材料类学硕+专硕】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-03-05 18:41,http://muchong.com/t-14119529-1
500,2020年湖北工业大学谢益民“楚天学者特聘教授”团队接受学硕与专硕调剂,湖北工业大学,工学   ,0,2020-03-05 18:19,http://muchong.com/t-14119491-1
501,江西理工大学资环学院环境学科招收2020年调剂研究生,江西理工,工学 -> 环境科学与工程  -> 环境科学,30,2020-03-05 16:49,http://muchong.com/t-14119300-1
502,江西理工大学资环学院环境学科招收2020年调剂研究生,江西理工,工学 -> 环境科学与工程  -> 环境工程,30,2020-03-05 16:49,http://muchong.com/t-14119300-1
503,2020年中国日用化学工业研究院硕士研究生招生调剂信息,中国日用化学工业研究院,工学 -> 化学工程与技术  -> 工业催化,12,2020-03-05 16:19,http://muchong.com/t-14119202-1
504,湖南科技大学蔡志华副教授课题组接受调剂生,湖南科大,工学 -> 机械工程  ,10,2020-03-05 16:18,http://muchong.com/t-14119199-1
505,郑州机电工程研究所2020年硕士研究生招生预调剂公告,,工学 -> 机械工程  -> 机械电子工程,6,2020-03-05 16:03,http://muchong.com/t-14119164-1
506,2020河南理工大学化学化工学院王元老师课题组调剂招生,,工学   ,0,2020-03-05 15:16,http://muchong.com/t-14119035-1
507,西南科大接收调剂研究生,西南科大,工学 -> 材料科学与工程  -> 材料学,2,2020-03-05 15:01,http://muchong.com/t-14119000-1
508,中国矿业大学 信息与控制工程学院 智能系统与先进控制研究所 接收调剂硕士研究生,中国矿业大学,工学 -> 控制科学与工程  ,4,2020-03-05 12:40,http://muchong.com/t-14118645-1
509,内蒙古科技大学稀土清洁冶金与过程工程团队2020年硕士研究生招生调剂简章,内蒙古科大,工学 -> 治金工程  -> 治金物理化学,0,2020-03-05 12:27,http://muchong.com/t-14118611-1
510,天津理工大学招收化学背景（材料科学与工程）调剂生,天津理工,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-03-05 12:03,http://muchong.com/t-14118555-1
511,浙江海洋接收调剂研究生,浙江海洋,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-03-05 11:58,http://muchong.com/t-14118544-1
512,北京工商大学材机学院-高分子材料专业--万贤副教授招收硕士生,北京工商大学,工学 -> 材料科学与工程  -> 材料学,2,2020-03-05 11:55,http://muchong.com/t-14118538-1
513,欢迎咨询与调剂五邑大学应用物理与材料学院。调剂咨询请加QQ群：636859222,五邑大学,工学   ,0,2020-03-05 11:30,http://muchong.com/t-14118460-1
514,长江大学接收调剂研究生,长江大学,工学 -> 化学工程与技术  -> 应用化学,2,2020-03-05 11:30,http://muchong.com/t-14118461-1
515,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,0,2020-03-05 11:30,http://muchong.com/t-14118463-1
516,齐鲁工业大学 生物基材料与绿色造纸国家重点实验室  生物质基材料团队,山东轻工,工学   ,5,2020-03-05 11:11,http://muchong.com/t-14118398-1
517,哈尔滨工程大学 内燃机低噪声设计方向 招收2020年考研调剂硕士生,哈工程,工学 -> 船舶与海洋工程  -> 轮机工程,4,2020-03-05 10:38,http://muchong.com/t-14118298-1
518,李老师招收高分子化学与物理、化学工程、制药工程的调剂生（报考学科代码07、08开头）,长春工业大学,工学 -> 化学工程与技术  -> 化学工程,5,2020-03-05 10:31,http://muchong.com/t-14118260-1
519,燕山大学焦体峰教授课题组招收2020级化学工程与技术、化学专业硕士生(学术/专业型）,燕山大学,工学 -> 化学工程与技术  -> 化学工程,8,2020-03-05 09:31,http://muchong.com/t-14118081-1
520,天津科技大学化工与材料学院工业结晶与颗粒过程研究室招收调剂生,天津科大,工学 -> 化学工程与技术  -> 化学工程,0,2020-03-05 09:19,http://muchong.com/t-14118037-1
521,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【材料类学硕+专硕】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-03-05 08:21,http://muchong.com/t-14117917-1
522,上海应用技术大学陈锟课题组接收调剂研究生,上海应用技术学院,工学 -> 材料科学与工程  -> 材料学,4,2020-03-05 07:59,http://muchong.com/t-14117882-1
523,长春大学接收调剂研究生,长春大学,工学 -> 机械工程  -> 机械制造及其自动化,10,2020-03-05 07:44,http://muchong.com/t-14117860-1
524,南昌航空―智能仿生超材料实验室,南昌航空大学,工学 -> 材料科学与工程  ,4,2020-03-04 22:58,http://muchong.com/t-14117621-1
525,湖南科大接收调剂研究生,湖南科大,工学 -> 材料科学与工程  -> 材料学,3,2020-03-04 22:51,http://muchong.com/t-14117604-1
526,青岛科技大学招收高分子材料专业研究生,青岛科大,工学 -> 材料科学与工程  ,2,2020-03-04 21:53,http://muchong.com/t-14117486-1
527,青岛农业大学接收化学化工材料硕士研究生调剂,青岛农业大学,工学 -> 化学工程与技术  -> 应用化学,1,2020-03-04 20:53,http://muchong.com/t-14117371-1
528,南昌航空大学蒋华麟、陈萍华老师课题组招收化学、化工、材料、环境等相关专业硕士信息,南昌航空大学,工学 -> 化学工程与技术  -> 应用化学,4,2020-03-04 20:25,http://muchong.com/t-14117304-1
529,南昌航空大学蒋华麟、陈萍华老师课题组招收化学、化工、材料、环境等相关专业硕士信息,南昌航空大学,工学 -> 化学工程与技术  -> 应用化学,4,2020-03-04 20:17,http://muchong.com/t-14117284-1
530,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【材料类学硕+专硕】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-03-04 20:04,http://muchong.com/t-14117266-1
531,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-04 20:03,http://muchong.com/t-14117262-1
532,长春工业大学接收调剂研究生,长春工业大学,工学 -> 机械工程  -> 车辆工程,0,2020-03-04 19:04,http://muchong.com/t-14117181-1
533,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【材料类学硕+专硕】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-03-04 18:58,http://muchong.com/t-14117175-1
534,2020年北京石油化工学院化学工程学院北京市重点实验室主任团队接收部分研究生调剂,北京石油化工学院,工学 -> 化学工程与技术  ,12,2020-03-04 18:25,http://muchong.com/t-14117122-1
535,2020年昆明理工大学化学工程学院接受调剂,昆明理工,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-04 16:55,http://muchong.com/t-14116940-1
536,北京化工大学  纤维素生物质能源和材料,北京化工大学,工学 -> 生物工程  ,2,2020-03-04 16:50,http://muchong.com/t-14116926-1
537,接收达到A区国家线、考数学二的化学、材料、环境、林业工程等专业调剂生（学硕）,北华大学,工学 -> 林业工程  -> 林产化学加工工程,3,2020-03-04 16:31,http://muchong.com/t-14116875-1
538,武占省教授、常薇教授、李云峰副教授、李庆副教授招收调剂研究生,西安工大,工学 -> 化学工程与技术  ,20,2020-03-04 15:55,http://muchong.com/t-14116773-1
539,辽宁工程技术大学力学学院肖晓春教授招收力学采矿数学等专业优秀学术型硕士研究生,辽宁工程技术大学,工学 -> 力学  -> 工程力学,6,2020-03-04 12:32,http://muchong.com/t-14116291-1
540,长春工业大学材料强韧化课题组2020年研究生调剂需求,长春工业大学,工学 -> 材料科学与工程  -> 材料加工工程,0,2020-03-04 11:56,http://muchong.com/t-14116195-1
541,、备注：往年经验，考工科类的数学二加四大化学之一的调剂名额较多,青岛科大,工学 -> 化学工程与技术  -> 应用化学,2,2020-03-04 10:57,http://muchong.com/t-14116008-1
542,、,青岛科大,工学 -> 化学工程与技术  -> 应用化学,2,2020-03-04 10:56,http://muchong.com/t-14116005-1
543,广西大学接收调剂研究生,广西大学,工学 -> 材料科学与工程  -> 材料学,2,2020-03-04 10:33,http://muchong.com/t-14115917-1
544,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【材料类学硕+专硕】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-03-04 10:11,http://muchong.com/t-14115849-1
545,福建农林大学 材料学院 陈孝云 接收化学化工类，材料化学类调剂研究生,福建农林大学,工学   ,5,2020-03-04 10:04,http://muchong.com/t-14115836-1
546,2020燕山大学功能材料和核酸课题组招生,燕山大学,工学 -> 化学工程与技术  -> 生物化工,10,2020-03-04 09:40,http://muchong.com/t-14115765-1
547,大连工业大学调剂学硕和专硕！,大连工大,工学 -> 材料科学与工程  -> 材料工程,5,2020-03-04 09:30,http://muchong.com/t-14115735-1
548,大连工业大学调剂学硕和专硕！,大连工大,工学 -> 工程[专]  -> 材料工程,5,2020-03-04 09:30,http://muchong.com/t-14115736-1
549,北京信息科技大学仪器科学与光电工程学院招收调剂生,北京信息科技大学,工学 -> 仪器科学与技术  -> 测试计量技术及仪器,20,2020-03-04 09:28,http://muchong.com/t-14115729-1
550,招收化工调剂生6-7名，欢迎专业相近的工科生调剂！,长春工业大学,工学 -> 化学工程与技术  -> 化学工程,6,2020-03-04 09:24,http://muchong.com/t-14115720-1
551,安徽理工接收调剂研究生,安徽理工,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-03-04 08:20,http://muchong.com/t-14115589-1
552,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-04 08:01,http://muchong.com/t-14115571-1
553,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-04 07:50,http://muchong.com/t-14115562-1
554,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,4,2020-03-04 07:19,http://muchong.com/t-14115537-1
555,天津理工接收调剂研究生,天津理工,工学 -> 材料科学与工程  -> 材料加工工程,1,2020-03-04 07:03,http://muchong.com/t-14115525-1
556,上海海事大学信息工程学院接收调剂研究生,上海海事,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-04 01:50,http://muchong.com/t-14115477-1
557,2020东北石油大学接受调剂（土木类环境类动力类建筑类）,东北石油大学,工学 -> 土木工程  ,80,2020-03-03 22:51,http://muchong.com/t-14115273-1
558,功能材料方向接受硕士生调剂,燕山大学,工学 -> 材料科学与工程  -> 材料学,3,2020-03-03 22:34,http://muchong.com/t-14115247-1
559,郑州航空工业管理学院招调剂啦,郑州航空工业,工学 -> 材料科学与工程  ,5,2020-03-03 22:13,http://muchong.com/t-14115216-1
560,交流,兰州大学,工学   ,3,2020-03-03 22:04,http://muchong.com/t-14115202-1
561,南昌大学 机电工程学院 动力工程及工程热物理专业（0807） DNS课题组招收调剂生,南昌大学,工学 -> 动力工程及工程热物理  -> 工程热物理,3,2020-03-03 21:53,http://muchong.com/t-14115180-1
562, 江西科技师范大学孟玮博士课题组招收生物、医药等相关专业考研调剂生,江西科技师范大学,工学 -> 生物医学工程  ,1,2020-03-03 20:43,http://muchong.com/t-14115038-1
563,去,山东轻工,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-03 20:34,http://muchong.com/t-14115020-1
564,山东轻工接收调剂研究生,山东轻工,工学 -> 轻工技术与工程  -> 制浆造纸工程,3,2020-03-03 20:17,http://muchong.com/t-14114987-1
565,2020年拟招收一名应届硕士生攻读“机械工程”专业的博士生（北京工业大学）,北京工业大学,工学 -> 机械工程  -> 机械电子工程,1,2020-03-03 18:21,http://muchong.com/t-14114785-1
566,太原理工大学 光学工程 微纳非线性光学实验室招收调剂生,太原理工,工学 -> 光学工程  ,4,2020-03-03 18:01,http://muchong.com/t-14114754-1
567,浙江科技接收调剂研究生,浙江科技,工学 -> 工程[专]  -> 生物医学工程,0,2020-03-03 17:13,http://muchong.com/t-14114658-1
568,燕山大学招收2020级化学、化工专业硕士生,燕山大学,工学 -> 化学工程与技术  ,6,2020-03-03 16:10,http://muchong.com/t-14114496-1
569,武占省教授、常薇教授、李云峰副教授、李庆副教授常薇教授招收调剂研究生,西安工大,工学 -> 化学工程与技术  ,20,2020-03-03 16:08,http://muchong.com/t-14114484-1
570,武汉工程大学杨浩教授课题组招收硕士调剂生,武汉工大,工学 -> 工程[专]  ,3,2020-03-03 16:04,http://muchong.com/t-14114470-1
571,西安工程大学环境与化学工程学院接受硕士调剂,西安工大,工学 -> 化学工程与技术  ,0,2020-03-03 15:56,http://muchong.com/t-14114440-1
572,广西大学可再生能源材料协同创新中心接收材料科学与工程硕士生,广西大学,工学 -> 材料科学与工程  ,10,2020-03-03 15:43,http://muchong.com/t-14114406-1
573,专硕招生,江苏科大,工学   ,2,2020-03-03 15:32,http://muchong.com/t-14114378-1
574,南京林大接收调剂研究生,南京林大,工学 -> 化学工程与技术  -> 应用化学,2,2020-03-03 15:21,http://muchong.com/t-14114355-1
575,南昌航空―智能仿生超材料实验室,南昌航空大学,工学 -> 材料科学与工程  -> 材料学,4,2020-03-03 15:14,http://muchong.com/t-14114341-1
576,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【材料类学硕+专硕】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-03-03 15:00,http://muchong.com/t-14114301-1
577,南昌大学能源动力工程系热力发电厂课题组调剂2名,南昌大学,工学   ,2,2020-03-03 14:42,http://muchong.com/t-14114258-1
578,桂林理工大学材料科学与工程学院欢迎2020年考研同学关注我院调剂信息,桂林理工大学,工学 -> 材料科学与工程  ,0,2020-03-03 14:17,http://muchong.com/t-14114201-1
579,五邑大学纺织材料与工程学院叶冬冬老师招收调剂硕士1名,五邑大学,工学 -> 材料科学与工程  ,20,2020-03-03 14:15,http://muchong.com/t-14114194-1
580,五邑大学纺织材料与工程学院招生，好导师！！！,五邑大学,工学 -> 纺织科学与工程  -> 纺织工程,20,2020-03-03 13:50,http://muchong.com/t-14114149-1
581,东北石油大学罗明检老师招收 化工类研究生,东北石油大学,工学 -> 化学工程与技术  ,2,2020-03-03 13:32,http://muchong.com/t-14114116-1
582,西京学院接收调剂研究生,西京学院,工学 -> 土木工程  -> 结构工程,10,2020-03-03 13:29,http://muchong.com/t-14114110-1
583,南方科技大学蹇林旎课题组接受优秀硕士研究生调剂,南方科技大学,工学 -> 电气工程  -> 电力系统及其自动化,0,2020-03-03 13:27,http://muchong.com/t-14114107-1
584,北京服装学院接收调剂研究生,北京服装学院,工学 -> 纺织科学与工程  ,10,2020-03-03 12:59,http://muchong.com/t-14114068-1
585,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,0,2020-03-03 12:42,http://muchong.com/t-14114038-1
586,南方科技大学电子系化梦媛课题接收调剂硕士研究生,南方科技大学,工学 -> 电子科学与技术  -> 微电子学与固体电子学,2,2020-03-03 12:01,http://muchong.com/t-14113959-1
587,材料科学与工程（全日制学术型）、材料与化工（全日制专业学位)接受调剂,合肥学院,工学   ,10,2020-03-03 11:42,http://muchong.com/t-14113897-1
588,五邑大学接收调剂研究生,五邑大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-03-03 11:10,http://muchong.com/t-14113819-1
589,江苏科技大学能源与动力学院2020年硕士研究生招生调剂信息,江苏科大,工学 -> 动力工程及工程热物理  -> 工程热物理,0,2020-03-03 10:48,http://muchong.com/t-14113749-1
590,江西农业大学森林生物质化学利用方向硕士研究生调剂信息,江西农大,工学 -> 林业工程  ,0,2020-03-03 09:34,http://muchong.com/t-14113514-1
591,东北林业大学梁大鑫老师接收考研调剂信息,东北林大,工学   ,2,2020-03-03 09:23,http://muchong.com/t-14113476-1
592,欢迎调剂到苏州科技大学，高效微纳米储能材料与产业化推进实验，攻读研究生,苏州科技大学,工学 -> 化学工程与技术  -> 应用化学,4,2020-03-03 09:05,http://muchong.com/t-14113435-1
593,合肥学院接收调剂研究生,合肥学院,工学 -> 材料科学与工程  -> 材料物理与化学,100,2020-03-03 08:17,http://muchong.com/t-14113336-1
594,河南理工接收调剂研究生,河南理工,工学 -> 工程[专]  -> 化学工程,4,2020-03-03 01:05,http://muchong.com/t-14113200-1
595,东北石油大学 清洁能源化学转化与利用课题组招收2-3名调剂硕士,东北石油大学,工学 -> 化学工程与技术  ,3,2020-03-02 23:23,http://muchong.com/t-14113087-1
596,长春工业大学接收化学工程与技术调剂研究生,长春工业大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-03-02 22:56,http://muchong.com/t-14113056-1
597,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【材料类学硕+专硕】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-03-02 22:43,http://muchong.com/t-14113036-1
598,五邑大学应用物理与材料学院接收2020年材料相关专业调剂！！！,五邑大学,工学 -> 材料科学与工程  ,60,2020-03-02 22:31,http://muchong.com/t-14113005-1
599,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,0,2020-03-02 22:14,http://muchong.com/t-14112967-1
600,辽宁科大接收调剂研究生,辽宁科大,工学 -> 材料科学与工程  -> 材料学,2,2020-03-02 21:32,http://muchong.com/t-14112889-1
601,接收达到A区国家线、考数学二的化学、材料、环境、林业工程等专业调剂生（学硕）,北华大学,工学 -> 林业工程  -> 木材科学与技术,3,2020-03-02 21:28,http://muchong.com/t-14112880-1
602,河北联合大学接收调剂研究生,河北联合大学,工学 -> 材料科学与工程  -> 材料学,2,2020-03-02 20:25,http://muchong.com/t-14112710-1
603,海南大学接收调剂研究生,海南大学,工学 -> 材料科学与工程  -> 材料学,30,2020-03-02 20:19,http://muchong.com/t-14112695-1
604,太原理工大学能源材料与器件工作室-陈少平教授题组2020年硕士招生 材料+物理,太原理工,工学 -> 材料科学与工程  -> 材料加工工程,4,2020-03-02 20:12,http://muchong.com/t-14112683-1
605,济南大学杜鹏老师招收无机非金属材料专业专硕调剂生,济南大学,工学 -> 材料科学与工程  ,1,2020-03-02 20:12,http://muchong.com/t-14112682-1
